Model,PR_AUC,ROC_AUC,BalancedAcc,thr,TP,FP,TN,FN
Logistic | F1-opt,0.1196162305085024,0.6425034660328778,0.49663299663299665,0.9535520675964143,0,2,295,17
Logistic | Recall>=10%,0.1196162305085024,0.6425034660328778,0.5793226381461676,4.9330542038188725e-08,13,180,117,4
AvgEnsemble | Recall≥10%,0.11598942399548057,0.7314319667260843,0.6385422856011091,0.20210150979268715,7,40,257,10
AvgEnsemble | F1-opt,0.11598942399548057,0.7314319667260843,0.6385422856011091,0.20210150979268715,7,40,257,10
Stacking | F1-opt,0.08469635514991083,0.6601307189542484,0.5645672410378293,0.5068141345455355,5,49,248,12
Stacking | Recall≥10%,0.08469635514991083,0.6601307189542484,0.5645672410378293,0.5068141345455355,5,49,248,12
MLP + ANOVA-k20,0.08315701236105477,0.5248564072093485,0.534264210734799,0.0018047608900815248,5,67,230,12
MLP | Recall≥10%,0.07360462412748411,0.5846702317290553,0.6105169340463459,0.15090911090373993,12,144,153,5
MLP | F1-opt,0.07360462412748411,0.5846702317290553,0.6105169340463459,0.15090911090373993,12,144,153,5
RandomForest (sigmoid) | F1-opt,0.07150138928369372,0.6171519112695584,0.5652604476133888,0.03983530610746974,8,101,196,9
RandomForest (sigmoid) | Recall≥10%,0.07150138928369372,0.6171519112695584,0.5652604476133888,0.03983530610746974,8,101,196,9
RF | Recall≥10%,0.07150138928369372,0.6171519112695584,0.5652604476133888,0.0675,8,101,196,9
RF | F1-opt,0.07150138928369372,0.6171519112695584,0.5652604476133888,0.0675,8,101,196,9
RandomForest (isotonic) | Recall≥10%,0.06957414710423059,0.6173499702911468,0.5652604476133888,0.05747126436781609,8,101,196,9
RandomForest (isotonic) | F1-opt,0.06957414710423059,0.6173499702911468,0.5652604476133888,0.05747126436781609,8,101,196,9
Logistic (isotonic) | F1-opt,0.06424753987928956,0.5759556347791641,0.49663299663299665,0.08333333333333333,0,2,295,17
Logistic (isotonic) | Recall≥10%,0.06424753987928956,0.5759556347791641,0.5793226381461676,0.03937007874015748,13,180,117,4
XGB | F1-opt,0.06063383984340123,0.5521885521885521,0.5483264012675777,0.00302355014719069,10,146,151,7
XGB | Recall≥10%,0.06063383984340123,0.5521885521885521,0.5770449593979006,0.005327139515429735,8,94,203,9
Logistic (sigmoid) | F1-opt,0.04140117034092467,0.3561101208160032,0.38859180035650626,0.04874134805942322,6,171,126,11
Logistic (sigmoid) | Recall≥10%,0.04140117034092467,0.3561101208160032,0.38859180035650626,0.04874134805942322,6,171,126,11
