iter	RMSE
0	2.750051608
1	2.667690547
2	2.591705491
3	2.518887735
4	2.450785592
5	2.386939184
6	2.329296222
7	2.276606991
8	2.226414371
9	2.179532338
10	2.135271218
11	2.096019422
12	2.057442007
13	2.023661214
14	1.992016572
15	1.96359404
16	1.936064678
17	1.910857359
18	1.886566078
19	1.865696342
20	1.846734353
21	1.827983451
22	1.811835691
23	1.796536443
24	1.782836785
25	1.769105239
26	1.756047798
27	1.744083674
28	1.733335479
29	1.72358554
30	1.714803113
31	1.706570227
32	1.699616759
33	1.69226822
34	1.68556385
35	1.679678954
36	1.674546546
37	1.669043181
38	1.664330366
39	1.659482116
40	1.654900568
41	1.651060506
42	1.647506516
43	1.643605385
44	1.640257477
45	1.636843164
46	1.633983841
47	1.631309137
48	1.62856822
49	1.626482473
50	1.624517339
51	1.621816144
52	1.620162889
53	1.618143058
54	1.616816552
55	1.615100854
56	1.613773426
57	1.612072637
58	1.610354001
59	1.609152269
60	1.607853716
61	1.606846456
62	1.605942826
63	1.604949999
64	1.604009008
65	1.60324291
66	1.602306758
67	1.601436371
68	1.600264422
69	1.599631001
70	1.598154216
71	1.597067858
72	1.596165212
73	1.59532039
74	1.594762967
75	1.593654891
76	1.593059241
77	1.59231927
78	1.591854793
79	1.590966152
80	1.590415125
81	1.589938634
82	1.589491618
83	1.589015645
84	1.588475489
85	1.587722427
86	1.58691544
87	1.58637008
88	1.585491737
89	1.584948736
90	1.584520719
91	1.583652098
92	1.583322465
93	1.582884738
94	1.582347049
95	1.581931336
96	1.581243748
97	1.580712436
98	1.580280754
99	1.5797
100	1.579352109
101	1.579017494
102	1.578352208
103	1.577901704
104	1.577560287
105	1.576736216
106	1.576395728
107	1.575532791
108	1.574996917
109	1.574494285
110	1.574119702
111	1.573737827
112	1.572881349
113	1.572395444
114	1.571815659
115	1.571395128
116	1.570971702
117	1.570425239
118	1.570118243
119	1.569868759
120	1.569280169
121	1.568883984
122	1.568532438
123	1.568118791
124	1.567797495
125	1.567488996
126	1.567014061
127	1.566465901
128	1.565923082
129	1.565542898
130	1.565281218
131	1.564793169
132	1.56448358
133	1.564287853
134	1.563910805
135	1.56355589
136	1.562987173
137	1.562380412
138	1.561819449
139	1.561258945
140	1.560659173
141	1.560070567
142	1.559421563
143	1.558960525
144	1.558392133
145	1.558036043
146	1.557735825
147	1.557436959
148	1.557151099
149	1.556547259
150	1.555992846
151	1.555689242
152	1.555215576
153	1.554958299
154	1.55437026
155	1.553898426
156	1.553651818
157	1.553283301
158	1.552797946
159	1.552485493
160	1.551963155
161	1.551624935
162	1.551293873
163	1.551071185
164	1.550803494
165	1.550566832
166	1.550318575
167	1.550107981
168	1.549882184
169	1.549310835
170	1.548603042
171	1.547966256
172	1.547684725
173	1.547222684
174	1.546685902
175	1.546220642
176	1.545925464
177	1.545765143
178	1.545530685
179	1.545083246
180	1.544486789
181	1.544025003
182	1.543590143
183	1.543224078
184	1.542866983
185	1.54269886
186	1.542581215
187	1.54221456
188	1.541810286
189	1.541407944
190	1.541126857
191	1.540756208
192	1.540238811
193	1.539726411
194	1.539456314
195	1.539047658
196	1.538729969
197	1.538588588
198	1.538103447
199	1.53776659
200	1.537438547
201	1.536733119
202	1.536424481
203	1.535978901
204	1.535573416
205	1.53531403
206	1.534876409
207	1.534595581
208	1.533880225
209	1.53337905
210	1.533076274
211	1.532686465
212	1.532417191
213	1.532044714
214	1.531932983
215	1.531569173
216	1.531173333
217	1.530848686
218	1.530662127
219	1.530434589
220	1.530096063
221	1.529884591
222	1.529324008
223	1.528787215
224	1.528401551
225	1.527850578
226	1.527368547
227	1.527046596
228	1.526579506
229	1.526228158
230	1.525808142
231	1.525639278
232	1.525084288
233	1.524790254
234	1.524585755
235	1.524225355
236	1.523881449
237	1.523465048
238	1.523297109
239	1.523059236
240	1.522692779
241	1.522194122
242	1.521876923
243	1.521563759
244	1.52111634
245	1.520656026
246	1.520347052
247	1.519686425
248	1.519099959
249	1.518676163
250	1.518335909
251	1.518107739
252	1.517547562
253	1.517355884
254	1.516935395
255	1.516624458
256	1.51628125
257	1.515976623
258	1.515657693
259	1.515167339
260	1.514749286
261	1.514395578
262	1.514186234
263	1.513754111
264	1.513257438
265	1.512798439
266	1.512645134
267	1.512363041
268	1.511900361
269	1.511683113
270	1.51135389
271	1.510889585
272	1.510698052
273	1.51024093
274	1.509896199
275	1.509594451
276	1.509205194
277	1.508960038
278	1.508657221
279	1.508517594
280	1.508075997
281	1.507654203
282	1.507175997
283	1.50697106
284	1.506530799
285	1.506312711
286	1.506200501
287	1.505885361
288	1.505540988
289	1.505126714
290	1.504804649
291	1.504562452
292	1.50400104
293	1.503591399
294	1.503324867
295	1.503006956
296	1.502830853
297	1.502605338
298	1.502320313
299	1.501917298
300	1.501137681
301	1.500826734
302	1.500528703
303	1.500289643
304	1.499818711
305	1.499457526
306	1.499209344
307	1.498839614
308	1.498428627
309	1.498237672
310	1.497940122
311	1.497640787
312	1.497322213
313	1.496982371
314	1.496648104
315	1.496395634
316	1.496050596
317	1.495686238
318	1.495285152
319	1.494740715
320	1.49451196
321	1.494124512
322	1.493773013
323	1.493386298
324	1.493172108
325	1.492803887
326	1.492498643
327	1.492232345
328	1.49172817
329	1.491573321
330	1.491239557
331	1.490957078
332	1.490621092
333	1.490372284
334	1.490025786
335	1.489885455
336	1.489599914
337	1.489127404
338	1.488771038
339	1.488494513
340	1.488115366
341	1.487677466
342	1.487393542
343	1.487008289
344	1.48680698
345	1.486315571
346	1.486015732
347	1.485749229
348	1.485335067
349	1.485025017
350	1.484693402
351	1.484509869
352	1.484176714
353	1.483810653
354	1.483553545
355	1.48331846
356	1.483039775
357	1.482657023
358	1.482425393
359	1.482034975
360	1.481714645
361	1.48150078
362	1.481407913
363	1.480920569
364	1.480651026
365	1.480448897
366	1.480006033
367	1.479793389
368	1.479590595
369	1.479357934
370	1.479074999
371	1.478668818
372	1.478456371
373	1.478147122
374	1.477795491
375	1.477339388
376	1.477087921
377	1.476932725
378	1.476539944
379	1.47620861
380	1.47596447
381	1.47573582
382	1.475540495
383	1.475232712
384	1.474954098
385	1.474648305
386	1.474471872
387	1.474141663
388	1.473877609
389	1.473600598
390	1.473368937
391	1.472977921
392	1.472754024
393	1.472395108
394	1.472158165
395	1.471694674
396	1.471365626
397	1.471059304
398	1.470833832
399	1.470484266
400	1.47009016
401	1.469935595
402	1.469620107
403	1.469165575
404	1.468833762
405	1.468562791
406	1.468288368
407	1.468034457
408	1.467832541
409	1.467546828
410	1.46728867
411	1.466911871
412	1.466548861
413	1.466371302
414	1.46628233
415	1.466106646
416	1.46585858
417	1.465514038
418	1.465112588
419	1.464892168
420	1.464637012
421	1.464370679
422	1.464200103
423	1.463905826
424	1.463679815
425	1.463383649
426	1.463097719
427	1.462804328
428	1.462113271
429	1.461713436
430	1.461475905
431	1.461342726
432	1.461027192
433	1.460827752
434	1.460570955
435	1.460301474
436	1.459674996
437	1.459362599
438	1.458961063
439	1.458370094
440	1.458127562
441	1.457940646
442	1.45758963
443	1.457363156
444	1.457058146
445	1.45673524
446	1.456564052
447	1.456378849
448	1.456141372
449	1.455962509
450	1.455582394
451	1.455373153
452	1.455124276
453	1.454721024
454	1.454472203
455	1.45421619
456	1.454026234
457	1.453361783
458	1.453107328
459	1.452822363
460	1.452654416
461	1.45239696
462	1.452161942
463	1.45200239
464	1.451797158
465	1.451546277
466	1.451167794
467	1.450783267
468	1.450484538
469	1.450347743
470	1.450078933
471	1.449849116
472	1.449325133
473	1.449097377
474	1.448896231
475	1.448592205
476	1.448372447
477	1.448230849
478	1.44794967
479	1.447712772
480	1.447246424
481	1.44719133
482	1.446913692
483	1.446583179
484	1.446497207
485	1.446264112
486	1.445950489
487	1.445728994
488	1.44537938
489	1.445298276
490	1.444937578
491	1.444696364
492	1.444457654
493	1.444098552
494	1.44374025
495	1.443466623
496	1.443232416
497	1.442766459
498	1.442574591
499	1.442280897
