iter	Passed	Remaining
0	10	5125
1	15	3981
2	21	3526
3	26	3276
4	31	3137
5	36	3024
6	41	2949
7	47	2897
8	51	2835
9	56	2789
10	62	2768
11	67	2741
12	72	2729
13	77	2701
14	82	2682
15	88	2672
16	93	2646
17	98	2626
18	103	2612
19	108	2599
20	113	2597
21	119	2588
22	124	2579
23	129	2570
24	134	2563
25	139	2551
26	145	2545
27	150	2536
28	155	2525
29	160	2517
30	165	2510
31	171	2501
32	175	2490
33	181	2483
34	186	2479
35	191	2473
36	197	2467
37	202	2461
38	207	2451
39	212	2447
40	218	2443
41	222	2429
42	227	2422
43	233	2414
44	238	2407
45	243	2400
46	248	2393
47	253	2385
48	258	2379
49	263	2370
50	268	2362
51	273	2358
52	279	2355
53	284	2348
54	288	2337
55	294	2331
56	299	2323
57	304	2317
58	309	2310
59	314	2305
60	319	2300
61	324	2293
62	329	2288
63	334	2281
64	339	2273
65	344	2266
66	349	2259
67	354	2252
68	359	2247
69	364	2240
70	369	2233
71	374	2227
72	380	2223
73	384	2215
74	389	2208
75	394	2201
76	400	2197
77	405	2193
78	410	2186
79	415	2179
80	419	2172
81	424	2164
82	429	2158
83	434	2150
84	439	2143
85	444	2139
86	449	2134
87	454	2128
88	459	2123
89	464	2118
90	470	2114
91	475	2109
92	480	2103
93	485	2096
94	490	2090
95	495	2085
96	500	2079
97	505	2073
98	510	2068
99	516	2064
100	520	2057
101	525	2049
102	530	2045
103	535	2039
104	540	2032
105	545	2028
106	550	2021
107	555	2017
108	561	2012
109	565	2006
110	570	1999
111	575	1993
112	580	1988
113	585	1980
114	590	1975
115	595	1969
116	599	1963
117	604	1957
118	609	1951
119	614	1944
120	619	1939
121	624	1934
122	629	1929
123	634	1922
124	638	1916
125	643	1910
126	648	1904
127	653	1898
128	658	1893
129	663	1888
130	668	1883
131	673	1878
132	678	1872
133	683	1866
134	688	1861
135	693	1855
136	698	1849
137	703	1844
138	708	1840
139	713	1835
140	719	1830
141	724	1826
142	729	1821
143	734	1816
144	739	1810
145	744	1804
146	749	1799
147	754	1794
148	759	1788
149	763	1782
150	769	1778
151	774	1773
152	779	1768
153	784	1762
154	789	1758
155	794	1753
156	799	1747
157	804	1741
158	809	1736
159	814	1730
160	819	1726
161	824	1720
162	829	1714
163	833	1708
164	838	1702
165	843	1696
166	848	1691
167	853	1686
168	858	1681
169	863	1676
170	868	1670
171	873	1665
172	878	1660
173	883	1655
174	888	1649
175	893	1645
176	898	1639
177	903	1633
178	908	1628
179	913	1623
180	918	1618
181	923	1613
182	928	1607
183	933	1602
184	938	1597
185	943	1592
186	947	1586
187	952	1580
188	957	1576
189	962	1571
190	967	1565
191	972	1560
192	977	1555
193	982	1550
194	987	1544
195	992	1539
196	998	1535
197	1002	1529
198	1008	1524
199	1012	1519
200	1017	1514
201	1023	1509
202	1027	1503
203	1032	1498
204	1037	1493
205	1042	1487
206	1047	1482
207	1051	1476
208	1056	1471
209	1061	1466
210	1066	1461
211	1071	1455
212	1076	1450
213	1081	1445
214	1085	1439
215	1090	1434
216	1095	1428
217	1099	1422
218	1104	1417
219	1109	1412
220	1114	1406
221	1119	1401
222	1124	1396
223	1129	1391
224	1134	1386
225	1139	1381
226	1145	1377
227	1150	1371
228	1155	1367
229	1160	1362
230	1165	1356
231	1169	1351
232	1175	1346
233	1180	1341
234	1184	1335
235	1189	1330
236	1194	1325
237	1199	1320
238	1204	1315
239	1209	1310
240	1213	1304
241	1218	1299
242	1223	1294
243	1229	1289
244	1234	1284
245	1239	1279
246	1244	1274
247	1249	1269
248	1254	1264
249	1259	1259
250	1264	1254
251	1269	1248
252	1274	1243
253	1278	1238
254	1283	1233
255	1288	1228
256	1293	1223
257	1298	1218
258	1303	1213
259	1308	1208
260	1313	1202
261	1318	1197
262	1323	1192
263	1328	1187
264	1333	1182
265	1339	1178
266	1343	1172
267	1348	1167
268	1353	1162
269	1358	1157
270	1363	1152
271	1368	1147
272	1372	1141
273	1378	1136
274	1383	1131
275	1387	1126
276	1392	1121
277	1397	1115
278	1402	1110
279	1407	1105
280	1412	1100
281	1417	1095
282	1422	1090
283	1426	1085
284	1431	1080
285	1436	1074
286	1441	1069
287	1446	1064
288	1451	1059
289	1456	1054
290	1461	1049
291	1466	1044
292	1471	1039
293	1476	1034
294	1480	1029
295	1486	1024
296	1490	1018
297	1495	1014
298	1500	1008
299	1505	1003
300	1511	999
301	1515	993
302	1520	988
303	1525	983
304	1530	978
305	1535	973
306	1540	968
307	1545	963
308	1551	958
309	1556	953
310	1561	948
311	1566	943
312	1571	938
313	1576	933
314	1580	928
315	1585	923
316	1590	918
317	1595	913
318	1600	908
319	1605	903
320	1610	898
321	1615	893
322	1620	888
323	1626	883
324	1630	878
325	1635	873
326	1641	868
327	1646	863
328	1652	858
329	1657	853
330	1662	848
331	1667	843
332	1672	838
333	1677	833
334	1682	828
335	1686	823
336	1692	818
337	1697	813
338	1702	808
339	1706	803
340	1711	798
341	1717	793
342	1722	788
343	1727	783
344	1732	778
345	1737	773
346	1742	768
347	1747	763
348	1752	758
349	1756	752
350	1762	748
351	1767	742
352	1771	737
353	1777	732
354	1782	727
355	1787	722
356	1791	717
357	1797	712
358	1802	707
359	1807	702
360	1812	697
361	1816	692
362	1821	687
363	1826	682
364	1831	677
365	1835	672
366	1840	667
367	1845	661
368	1850	656
369	1854	651
370	1859	646
371	1865	641
372	1870	636
373	1875	631
374	1880	626
375	1885	621
376	1890	616
377	1894	611
378	1899	606
379	1905	601
380	1910	596
381	1915	591
382	1920	586
383	1924	581
384	1929	576
385	1934	571
386	1939	566
387	1944	561
388	1948	556
389	1953	551
390	1958	546
391	1963	541
392	1968	535
393	1973	530
394	1978	525
